prior_version,object,price,theta,probability,utterance_cost,alpha
v4_resampled_3,laptop,850,700,0.0012152347654187587,3,3
v4_resampled_3,laptop,850,750,0.0014109926606466034,3,3
v4_resampled_3,laptop,850,800,0.0016583005423882453,3,3
v4_resampled_3,laptop,850,0,0.0003776303416499497,3,3
v4_resampled_3,laptop,850,50,0.0003831227887115419,3,3
v4_resampled_3,laptop,850,100,0.0003975200537691623,3,3
v4_resampled_3,laptop,850,150,0.00041908926065710634,3,3
v4_resampled_3,laptop,850,200,0.00045055958116470843,3,3
v4_resampled_3,laptop,850,250,0.00048102047800156446,3,3
v4_resampled_3,laptop,850,300,0.0005105543460241115,3,3
v4_resampled_3,laptop,850,350,0.0005432870082585882,3,3
v4_resampled_3,laptop,850,400,0.0005827868939905016,3,3
v4_resampled_3,laptop,850,450,0.0006370430920328921,3,3
v4_resampled_3,laptop,850,500,0.0007102372100964335,3,3
v4_resampled_3,laptop,850,550,0.0007994383776859782,3,3
v4_resampled_3,laptop,850,600,0.000912547710712256,3,3
v4_resampled_3,laptop,850,650,0.001046891794695285,3,3
v4_resampled_3,laptop,800,0,0.0003733257177032282,3,3
v4_resampled_3,laptop,800,50,0.0003787555561326767,3,3
v4_resampled_3,laptop,800,100,0.00039298870616801424,3,3
v4_resampled_3,laptop,800,150,0.00041431204477091545,3,3
v4_resampled_3,laptop,800,200,0.0004454236337881503,3,3
v4_resampled_3,laptop,800,250,0.0004755373055969822,3,3
v4_resampled_3,laptop,800,300,0.0005047345158314553,3,3
v4_resampled_3,laptop,800,350,0.0005370940570897975,3,3
v4_resampled_3,laptop,800,400,0.0005761436819838996,3,3
v4_resampled_3,laptop,800,450,0.0006297814113716495,3,3
v4_resampled_3,laptop,800,500,0.0007021411866437766,3,3
v4_resampled_3,laptop,800,550,0.0007903255464196174,3,3
v4_resampled_3,laptop,800,600,0.0009021455414615183,3,3
v4_resampled_3,laptop,800,650,0.0010349582316521784,3,3
v4_resampled_3,laptop,800,700,0.001201382253861418,3,3
