price,theta,probability,utterance_cost,alpha
50,28,0.00000826643571862008,8,6
50,27,0.00000808996975029131,8,6
50,30,0.000008777615670821193,8,6
50,29,0.000008491500461093654,8,6
50,32,0.000009600814117013966,8,6
50,31,0.000009140604956326584,8,6
50,33,0.000010184756197307076,8,6
50,34,0.000010927491633826644,8,6
50,36,0.000013094917475632502,8,6
50,35,0.000011876113594742246,8,6
50,37,0.000014673183965849265,8,6
50,38,0.00001673706261793847,8,6
50,39,0.000019468045653162393,8,6
50,40,0.0000231321651787726,8,6
50,41,0.00002812704622352723,8,6
50,42,0.00003505918838204628,8,6
50,44,0.00005907532468955789,8,6
50,43,0.000044873543904978045,8,6
50,45,0.00008011786000033916,8,6
50,46,0.00011209509639294113,8,6
50,48,0.0002420763185892583,8,6
50,47,0.00016200296008339312,8,6
50,49,0.0003741670901424593,8,6
50,0,0.00000751600383536429,8,6
50,1,0.000007516014830435227,8,6
50,2,0.000007516032688393977,8,6
50,4,0.000007516107120833663,8,6
50,3,0.000007516061404347941,8,6
50,6,0.0000075162916255828255,8,6
50,5,0.000007516179178583768,8,6
50,7,0.000007516465355899139,8,6
50,8,0.000007516731101196805,8,6
50,9,0.000007517133559005161,8,6
50,10,0.000007517737012140056,8,6
50,12,0.000007519949668132084,8,6
50,11,0.000007518632872706514,8,6
50,13,0.000007521866074513489,8,6
50,14,0.000007524627685887103,8,6
50,16,0.000007534136481580331,8,6
50,15,0.0000075285682889802945,8,6
50,17,0.000007541928535579974,8,6
50,18,0.000007552728486926686,8,6
50,20,0.0000075877269325350666,8,6
50,19,0.0000075675565275666,8,6
50,21,0.000007614917093936225,8,6
50,22,0.00000765124977444456,8,6
50,23,0.00000769939164356238,8,6
50,24,0.000007762672651527305,8,6
50,25,0.000007845233058357317,8,6
50,26,0.00000795220871063582,8,6
49,0,0.000007478516366790209,8,6
49,1,0.0000074785273070211814,8,6
49,2,0.00000747854507591009,8,6
49,3,0.000007478573648637888,8,6
49,4,0.000007478619137104071,8,6
49,6,0.000007478802721601497,8,6
49,5,0.000007478690835452784,8,6
49,7,0.000007478975585405509,8,6
49,8,0.000007479240005248971,8,6
49,9,0.000007479640455724124,8,6
49,10,0.000007480240899024149,8,6
49,11,0.000007481132291319186,8,6
49,12,0.00000748244251898243,8,6
49,13,0.000007484349366930168,8,6
49,14,0.000007487097204252871,8,6
49,15,0.000007491018152854347,8,6
49,16,0.000007496558573057032,8,6
49,17,0.000007504311762736547,8,6
49,18,0.000007515057847315017,8,6
49,19,0.000007529811930341273,8,6
49,20,0.0000075498817316593764,8,6
49,22,0.0000076130877415672,8,6
49,21,0.0000075769362770678105,8,6
49,23,0.000007660989494149001,8,6
49,24,0.000007723954876304016,8,6
49,25,0.000007806103497732597,8,6
49,26,0.00000791254558902703,8,6
49,27,0.00000804961951984677,8,6
49,28,0.000008225205331301366,8,6
49,30,0.000008733835678311552,8,6
49,29,0.000008449147521465855,8,6
49,32,0.000009552928268978178,8,6
49,31,0.000009095014487168477,8,6
49,34,0.000010872988734654536,8,6
49,33,0.000010133957829418495,8,6
49,35,0.00001181687926691103,8,6
49,36,0.000013029604136509604,8,6
49,38,0.00001665358340176774,8,6
49,37,0.000014599998728740607,8,6
49,40,0.00002301678919784115,8,6
49,39,0.000019370945150607196,8,6
49,42,0.00003488432415213217,8,6
49,41,0.000027986757343361482,8,6
49,43,0.00004464972874950541,8,6
49,44,0.000058780675508116514,8,6
49,46,0.00011153600122809308,8,6
49,45,0.00007971825725601196,8,6
49,47,0.00016119494015577395,8,6
49,48,0.0002408689178768023,8,6
51,0,0.000007478516366790209,8,6
51,1,0.0000074785273070211814,8,6
51,3,0.000007478573648637888,8,6
51,2,0.00000747854507591009,8,6
51,4,0.000007478619137104071,8,6
51,5,0.000007478690835452784,8,6
51,6,0.000007478802721601497,8,6
51,7,0.000007478975585405509,8,6
51,9,0.000007479640455724124,8,6
51,8,0.000007479240005248971,8,6
51,10,0.000007480240899024149,8,6
51,11,0.000007481132291319186,8,6
51,13,0.000007484349366930168,8,6
51,12,0.00000748244251898243,8,6
51,14,0.000007487097204252871,8,6
51,15,0.000007491018152854347,8,6
51,16,0.000007496558573057032,8,6
51,17,0.000007504311762736547,8,6
51,18,0.000007515057847315017,8,6
51,19,0.000007529811930341273,8,6
51,21,0.0000075769362770678105,8,6
51,20,0.0000075498817316593764,8,6
