price,theta,probability,utterance_cost,alpha
50,20,0.00008765784632000737,4,9
50,20,0.00009404300524878968,4,9
50,20,0.0000944545829536615,4,9
50,30,0.00011914447338242443,4,9
50,30,0.00011914447338242443,4,9
50,30,0.00011914447338242443,4,9
50,30,0.00011914447338242443,4,9
50,30,0.00011914447338242443,4,9
50,30,0.00011914447338242443,4,9
50,30,0.00010863314554782408,4,9
50,30,0.00011651185310463528,4,9
50,30,0.00011701954346323538,4,9
50,40,0.0004749853303141882,4,9
50,40,0.0004749853303141882,4,9
50,40,0.0004749853303141882,4,9
50,40,0.0004749853303141882,4,9
50,40,0.0004749853303141882,4,9
50,40,0.0004749853303141882,4,9
50,40,0.0004357347067542761,4,9
50,40,0.0004651997460218831,4,9
50,40,0.0004670891837033115,4,9
50,40,0.00046719643208607527,4,9
50,10,0.0000931963831201584,4,9
50,0,0.00009316471481538746,4,9
50,20,0.00009447795269722398,4,9
50,30,0.00011704836998927048,4,9
50,0,0.00009484097698078049,4,9
50,0,0.00009484097698078049,4,9
50,0,0.00009484097698078049,4,9
50,0,0.00009484097698078049,4,9
50,0,0.00009484097698078049,4,9
50,0,0.00009484097698078049,4,9
50,0,0.000086437825152558,4,9
50,0,0.00009273570484422975,4,9
50,0,0.00009314166406724842,4,9
50,10,0.00009487320463991586,4,9
50,10,0.00009487320463991586,4,9
50,10,0.00009487320463991586,4,9
50,10,0.00009487320463991586,4,9
50,10,0.00009487320463991586,4,9
50,10,0.00009487320463991586,4,9
50,10,0.00008646724504097153,4,9
50,10,0.0000931733246776101,4,9
50,10,0.00009276722993274852,4,9
50,20,0.00009617740451367276,4,9
50,20,0.00009617740451367276,4,9
50,20,0.00009617740451367276,4,9
50,20,0.00009617740451367276,4,9
50,20,0.00009617740451367276,4,9
50,20,0.00009617740451367276,4,9
51,0,0.00009436793994913712,4,9
51,0,0.00009436793994913712,4,9
51,0,0.00009436793994913712,4,9
51,0,0.00009436793994913712,4,9
51,0,0.00009436793994913712,4,9
51,0,0.00009436793994913712,4,9
51,0,0.00008600670040528592,4,9
51,0,0.00009227316824935935,4,9
51,0,0.0000926771026751655,4,9
51,10,0.00009440000686682173,4,9
51,10,0.00009440000686682173,4,9
51,10,0.00009440000686682173,4,9
51,10,0.00009440000686682173,4,9
51,10,0.00009440000686682173,4,9
51,10,0.00008603597355652801,4,9
51,10,0.00009440000686682173,4,9
51,10,0.00009230453610062932,4,9
51,10,0.00009270860537233793,4,9
51,50,0.004885523421937992,4,9
51,50,0.004885523421937992,4,9
51,50,0.004885523421937992,4,9
51,50,0.004885523421937992,4,9
51,50,0.004885523421937992,4,9
51,50,0.004885523421937992,4,9
51,50,0.004852456867089103,4,9
51,50,0.004877761474268713,4,9
51,50,0.004879283569642142,4,9
51,20,0.00009569770180087245,4,9
51,20,0.00009569770180087245,4,9
51,20,0.00009569770180087245,4,9
51,20,0.00009569770180087245,4,9
51,20,0.00009569770180087245,4,9
51,20,0.00008722063649000034,4,9
51,20,0.00009569770180087245,4,9
51,20,0.00009357394824973826,4,9
51,20,0.00009398347313417315,4,9
51,40,0.00047261625253917385,4,9
51,40,0.00047261625253917385,4,9
51,40,0.00047261625253917385,4,9
51,40,0.00047261625253917385,4,9
51,40,0.00047261625253917385,4,9
51,40,0.00047261625253917385,4,9
51,40,0.00043356139877255144,4,9
51,40,0.0004628794756705572,4,9
